CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI,Lucro,CTR,Conversion_Rate,CPA
CAMP00045,2025-01-21,2025-01-26,Search,182996,8625,3522,2043,1229.73,3377.2,1.75,2147.47,4.713217775251918,23.68695652173913,0.6019236417033774
CAMP00046,2025-11-25,2025-12-07,Display,18381,1637,582,325,3863.15,3930.17,0.02,67.01999999999998,8.905935476851095,19.853390348197923,11.886615384615386
CAMP00047,2025-06-16,2025-06-27,Display,255666,12435,1822,771,3906.84,7082.26,0.81,3175.42,4.8637675717537725,6.200241254523522,5.067237354085603
CAMP00048,2025-10-01,2025-10-09,Display,295274,25705,8122,4809,702.91,1821.61,1.59,1118.6999999999998,8.70547356015091,18.708422485897685,0.14616552297775004
CAMP00049,2025-03-30,2025-04-08,Email,35415,444,63,16,132.5,333.53,1.52,201.02999999999997,1.2537060567556122,3.6036036036036037,8.28125
CAMP00050,2025-11-12,2025-11-26,Influencer,185200,10013,2289,464,2066.76,3495.47,0.69,1428.7099999999996,5.40658747300216,4.633975831419155,4.4542241379310346
CAMP00051,2025-01-14,2025-01-19,Search,89679,8583,3618,879,3503.9,9654.22,1.76,6150.32,9.570802529020172,10.241174414540371,3.9862343572241183
CAMP00052,2025-08-30,2025-09-07,Display,120458,3945,553,189,4346.66,9876.13,1.27,5529.469999999999,3.2750004150824354,4.790874524714829,22.998201058201058
CAMP00053,2025-09-22,2025-09-27,Influencer,136460,4633,1314,659,910.12,2719.35,1.99,1809.23,3.3951341052323025,14.22404489531621,1.381062215477997
CAMP00054,2025-12-12,2025-12-17,Display,82652,5513,1887,666,4094.93,6836.28,0.67,2741.35,6.670135023955863,12.080536912751679,6.148543543543544
CAMP00055,2025-02-22,2025-03-08,Display,155878,14552,6929,3549,3453.83,7899.24,1.29,4445.41,9.335505972619613,24.388400219901044,0.9731839954916878
CAMP00056,2025-12-06,2025-12-11,Influencer,69333,1933,763,379,913.18,1688.45,0.85,775.2700000000001,2.787994173048909,19.606828763579927,2.4094459102902372
CAMP00057,2025-04-02,2025-04-13,Display,241388,22436,3493,1808,4379.09,10050.49,1.3,5671.4,9.294579680845775,8.058477446960243,2.4220630530973453
CAMP00058,2025-09-21,2025-10-02,Email,115930,8076,3937,1082,4671.64,7098.74,0.52,2427.0999999999995,6.966272750797896,13.397721644378406,4.317597042513864
CAMP00059,2025-02-04,2025-02-12,Email,271996,27029,7870,3198,1402.45,2475.26,0.76,1072.8100000000002,9.93727848938955,11.831736283251322,0.4385397123202001
CAMP00060,2025-07-25,2025-07-31,Email,251355,19173,4752,2305,828.59,2373.46,1.86,1544.87,7.627857014978814,12.022114431752987,0.3594750542299349
CAMP00061,2025-03-22,2025-03-29,Social,194889,13662,2069,648,4841.37,7640.26,0.58,2798.8900000000003,7.010144235949695,4.743083003952568,7.4712499999999995
CAMP00062,2025-02-19,2025-03-03,Display,165120,13761,6514,3486,212.13,475.47,1.24,263.34000000000003,8.333938953488373,25.332461303684322,0.06085197934595525
CAMP00063,2025-12-26,2026-01-07,Social,228622,5889,1969,1007,4747.16,13468.54,1.84,8721.380000000001,2.5758675892958682,17.099677364578028,4.71416087388282
CAMP00064,2025-01-02,2025-01-17,Search,118120,11237,5564,1379,1159.5,2274.99,0.96,1115.4899999999998,9.51320690822892,12.27195870784017,0.840826686004351
CAMP00065,2025-02-23,2025-03-10,Influencer,81596,2032,344,98,2246.84,5370.37,1.39,3123.5299999999997,2.4903181528506297,4.822834645669291,22.926938775510205
CAMP00066,2025-04-16,2025-04-26,Search,246777,3037,966,284,1610.92,4021.01,1.5,2410.09,1.2306657427556054,9.351333552848205,5.672253521126761
CAMP00067,2025-09-17,2025-10-01,Social,260878,18993,2734,1507,853.17,1781.61,1.09,928.4399999999999,7.280414599927935,7.934502185015532,0.5661380225613802
CAMP00068,2025-11-06,2025-11-19,Email,275353,7328,2269,623,1827.14,3211.78,0.76,1384.64,2.6613111170025383,8.501637554585152,2.932808988764045
CAMP00069,2025-07-10,2025-07-25,Display,58482,4578,2087,936,2742.31,7176.22,1.62,4433.91,7.828049656304505,20.445609436435124,2.929818376068376
CAMP00070,2025-08-06,2025-08-19,Display,154148,12571,1806,408,559.75,1180.08,1.11,620.3299999999999,8.155149596491682,3.245565189722377,1.3719362745098038
CAMP00071,2025-02-13,2025-02-21,Email,122458,3833,796,335,4064.97,5009.16,0.23,944.19,3.1300527527805455,8.73989042525437,12.13423880597015
CAMP00072,2025-06-11,2025-06-16,Display,124614,2218,827,212,4021.87,11056.48,1.75,7034.61,1.7798963198356526,9.558160504959423,18.971084905660376
CAMP00073,2025-07-21,2025-07-26,Influencer,94484,5203,679,292,4007.66,6391.78,0.59,2384.12,5.506752466025993,5.6121468383624835,13.724863013698629
CAMP00074,2025-09-27,2025-10-11,Influencer,154151,13892,3911,1357,3463.6,6881.77,0.99,3418.1700000000005,9.01194283527191,9.7682119205298,2.552394988946205
CAMP00075,2025-12-17,2025-12-26,Influencer,186810,16113,3757,1661,2330.79,3327.47,0.43,996.6799999999998,8.625341255821423,10.30844659591634,1.4032450331125828
CAMP00076,2025-10-31,2025-11-06,Search,279849,5747,2501,894,4185.25,8309.05,0.99,4123.799999999999,2.0536074811773495,15.555942230729075,4.681487695749441
CAMP00077,2025-09-28,2025-10-08,Email,114165,11054,1322,716,4274.06,5378.93,0.26,1104.87,9.682477116454255,6.477293287497739,5.969357541899442
CAMP00078,2025-08-03,2025-08-14,Influencer,15248,514,228,114,1498.74,3196.1,1.13,1697.36,3.3709338929695702,22.17898832684825,13.146842105263158
CAMP00079,2025-09-09,2025-09-14,Social,94169,3902,1488,800,2456.66,5025.25,1.05,2568.59,4.143614140534571,20.502306509482317,3.0708249999999997
CAMP00080,2025-07-09,2025-07-19,Influencer,100039,2342,512,147,1094.52,2886.06,1.64,1791.54,2.341086976079329,6.27668659265585,7.445714285714286
CAMP00081,2025-10-23,2025-11-04,Search,12461,548,98,25,1353.37,2868.87,1.12,1515.5,4.397720889174224,4.562043795620438,54.1348
CAMP00082,2025-08-01,2025-08-10,Social,163070,10959,5261,2225,1270.87,2309.79,0.82,1038.92,6.720426810572147,20.302947349210694,0.5711775280898876
CAMP00083,2025-07-27,2025-08-07,Email,148893,8270,2659,1460,4152.04,8024.53,0.93,3872.49,5.554324246270812,17.654171704957676,2.84386301369863
CAMP00084,2025-08-25,2025-09-08,Email,24870,2100,499,121,1329.0,2936.38,1.21,1607.38,8.443908323281061,5.761904761904762,10.983471074380166
CAMP00085,2025-12-04,2025-12-14,Influencer,18410,1246,146,42,2776.94,7439.86,1.68,4662.92,6.768060836501902,3.3707865168539324,66.11761904761904
CAMP00086,2025-02-22,2025-03-02,Social,92721,3126,519,258,3178.41,3443.69,0.08,265.2800000000002,3.3714045361892127,8.253358925143955,12.319418604651162
CAMP00087,2025-10-07,2025-10-18,Social,24133,1452,492,189,3748.95,10696.46,1.85,6947.509999999999,6.016657688642108,13.016528925619836,19.835714285714285
CAMP00088,2025-08-05,2025-08-19,Influencer,290503,4583,1398,617,242.14,282.76,0.17,40.620000000000005,1.5776084928554954,13.46279729434868,0.39244732576985414
CAMP00089,2025-09-09,2025-09-22,Influencer,197457,12295,4955,2163,2431.16,4107.2,0.69,1676.04,6.226672136211935,17.592517283448554,1.123975959315765
CAMP00090,2025-07-07,2025-07-21,Display,32400,1460,633,231,1533.78,2565.03,0.67,1031.2500000000002,4.506172839506172,15.821917808219176,6.639740259740259
CAMP00091,2025-02-10,2025-02-24,Display,39173,738,191,92,4186.47,8638.77,1.06,4452.3,1.8839506803155235,12.466124661246612,45.505108695652176
CAMP00092,2025-06-06,2025-06-17,Influencer,16179,609,85,45,280.07,478.73,0.71,198.66000000000003,3.7641386983126273,7.389162561576355,6.223777777777777
CAMP00093,2025-01-15,2025-01-24,Search,197958,17980,7490,4217,1114.27,1602.92,0.44,488.6500000000001,9.082734721506583,23.453837597330367,0.2642328669670382
CAMP00094,2025-10-28,2025-11-08,Display,40495,2540,816,178,1647.22,2449.17,0.49,801.95,6.272379306087171,7.007874015748032,9.254044943820224
CAMP00095,2025-03-06,2025-03-13,Influencer,273631,24980,12288,5178,481.42,1430.1,1.97,948.6799999999998,9.129082596635616,20.728582866293035,0.0929741212823484
CAMP00096,2025-12-11,2025-12-17,Social,19760,928,388,83,2037.55,5446.95,1.67,3409.3999999999996,4.696356275303644,8.943965517241379,24.54879518072289
CAMP00097,2025-11-23,2025-12-08,Display,96975,9513,2203,1234,3744.47,9776.61,1.61,6032.140000000001,9.809744779582367,12.97172290549774,3.034416531604538
CAMP00098,2025-01-09,2025-01-18,Search,97465,4132,1121,416,1140.34,2096.56,0.84,956.22,4.23947057918227,10.067763794772508,2.7412019230769227
CAMP00099,2025-12-10,2025-12-18,Email,207899,16239,3154,1766,3796.9,10906.09,1.87,7109.1900000000005,7.811004381935459,10.875053882628242,2.15
CAMP00100,2025-05-09,2025-05-18,Social,296547,11116,3388,931,2692.17,3029.86,0.13,337.69000000000005,3.74847831878252,8.375314861460957,2.8916970998925886
CAMP00101,2025-05-16,2025-05-28,Search,204109,3988,1532,405,1789.15,2237.56,0.25,448.40999999999985,1.9538579876438569,10.155466399197593,4.417654320987655
CAMP00102,2025-03-04,2025-03-12,Search,120625,10250,3536,1991,1907.15,2848.22,0.49,941.0699999999997,8.49740932642487,19.42439024390244,0.9578854846810648
CAMP00103,2025-05-19,2025-06-01,Search,6755,531,125,71,669.9,1529.64,1.28,859.7400000000001,7.860843819393041,13.370998116760829,9.435211267605634
CAMP00104,2025-03-22,2025-04-02,Social,133500,11194,4805,2434,1323.93,1765.74,0.33,441.80999999999995,8.38501872659176,21.743791316776846,0.5439317995069844
CAMP00105,2025-06-12,2025-06-26,Search,172230,6367,904,261,3683.0,6157.97,0.67,2474.9700000000003,3.6968007896417583,4.099261818752945,14.11111111111111
CAMP00106,2025-10-16,2025-10-27,Email,76352,5598,879,236,4327.45,5861.25,0.35,1533.8000000000002,7.331831517183571,4.215791354055019,18.33665254237288
CAMP00107,2025-09-18,2025-09-30,Display,203498,6062,1586,791,1401.43,3642.78,1.6,2241.3500000000004,2.978899055518973,13.048498845265588,1.7717193426042985
CAMP00108,2025-08-19,2025-08-29,Social,117133,1290,491,222,2984.48,8411.37,1.82,5426.890000000001,1.1013121835861799,17.209302325581397,13.443603603603604
CAMP00109,2025-02-10,2025-02-22,Search,12688,1116,421,231,270.16,729.65,1.7,459.48999999999995,8.795712484237074,20.698924731182796,1.1695238095238096
CAMP00110,2025-01-28,2025-02-04,Influencer,240876,13758,3392,1053,479.29,505.48,0.05,26.189999999999998,5.711652468490012,7.65372873964239,0.4551661918328585
CAMP00111,2025-05-15,2025-05-29,Display,175556,17297,6549,2083,4825.4,7886.67,0.63,3061.2700000000004,9.852696575451708,12.042550731340695,2.3165626500240037
CAMP00112,2025-07-20,2025-08-03,Social,195927,8748,1086,535,4492.88,10222.04,1.28,5729.160000000001,4.464928264098363,6.115683584819387,8.397906542056075
CAMP00113,2025-11-24,2025-11-29,Influencer,154651,14864,3210,985,498.28,498.97,0.0,0.6900000000000546,9.611318387853943,6.6267491926803,0.5058680203045685
CAMP00114,2025-09-25,2025-10-05,Influencer,149086,9743,3678,1415,4129.41,10293.46,1.49,6164.049999999999,6.535154206297037,14.523247459714666,2.918310954063604
CAMP00115,2025-02-02,2025-02-07,Search,53443,2998,520,212,602.27,1648.75,1.74,1046.48,5.609715023482964,7.071380920613743,2.840896226415094
CAMP00116,2025-02-17,2025-03-02,Social,178033,6632,1227,573,4159.67,4805.09,0.16,645.4200000000001,3.725152078547236,8.639927623642944,7.259458987783595
CAMP00117,2025-03-03,2025-03-09,Search,194986,16432,2214,747,4576.15,8522.82,0.86,3946.67,8.42727170155806,4.546007789678676,6.126037483266399
CAMP00118,2025-08-04,2025-08-19,Email,41397,3501,860,467,850.12,1364.99,0.61,514.87,8.457134574969201,13.339045986860897,1.8203854389721628
CAMP00119,2025-10-20,2025-10-26,Influencer,248818,11824,5083,1834,821.44,2377.15,1.89,1555.71,4.752067776447041,15.51082543978349,0.4478953107960742
CAMP00120,2025-04-09,2025-04-20,Email,183250,13827,6008,1301,4640.2,7653.87,0.65,3013.67,7.54542974079127,9.409127070224923,3.566641045349731
CAMP00121,2025-06-21,2025-06-27,Search,6063,304,135,30,1577.02,3409.32,1.16,1832.3000000000002,5.014019462312387,9.868421052631579,52.56733333333333
CAMP00122,2025-12-26,2026-01-09,Display,80848,6190,709,417,2416.01,2459.79,0.02,43.779999999999745,7.656342766673263,6.736672051696284,5.79378896882494
CAMP00123,2025-08-02,2025-08-14,Influencer,172115,17121,8515,3821,1591.75,4255.07,1.67,2663.3199999999997,9.94741887691369,22.317621634250337,0.41657942946872545
CAMP00124,2025-02-04,2025-02-14,Display,115687,3889,1170,463,3771.75,3992.67,0.06,220.92000000000007,3.361656884524623,11.905374132167653,8.1463282937365
CAMP00125,2025-08-15,2025-08-26,Social,131230,8800,3951,2164,1134.32,2425.7,1.14,1291.3799999999999,6.705783738474434,24.59090909090909,0.524177449168207
CAMP00126,2025-04-11,2025-04-22,Influencer,266234,11764,5435,2645,2521.19,6256.15,1.48,3734.9599999999996,4.418669290924525,22.483849030941858,0.9531909262759924
CAMP00127,2025-05-11,2025-05-21,Email,213347,12662,3872,1055,4267.27,7652.27,0.79,3385.0,5.934932293399954,8.332017058916442,4.044805687203792
CAMP00128,2025-09-14,2025-09-28,Display,140141,12426,1496,303,4718.98,5017.85,0.06,298.8700000000008,8.866784167374288,2.4384355383872522,15.574191419141913
CAMP00129,2025-01-05,2025-01-20,Social,266252,10991,3725,2208,1828.4,5122.16,1.8,3293.7599999999998,4.128044108588855,20.0891638613411,0.8280797101449275
CAMP00130,2025-08-06,2025-08-19,Influencer,151676,2504,585,264,658.45,1140.53,0.73,482.0799999999999,1.6508874179171393,10.543130990415335,2.494128787878788
CAMP00131,2025-09-12,2025-09-25,Social,19612,1606,293,114,4067.46,7859.64,0.93,3792.1800000000003,8.188863960840303,7.0983810709838115,35.67947368421053
CAMP00132,2025-12-25,2026-01-05,Email,44170,2648,458,264,642.68,1687.78,1.63,1045.1,5.995019243830654,9.969788519637463,2.434393939393939
CAMP00133,2025-10-10,2025-10-23,Influencer,181173,9139,2958,1028,3918.51,9096.18,1.32,5177.67,5.04434987553333,11.248495459021775,3.8117801556420234
CAMP00134,2025-07-26,2025-08-09,Social,70881,1878,266,130,3476.04,5738.04,0.65,2262.0,2.6495111524950268,6.922257720979766,26.73876923076923
CAMP00135,2025-01-15,2025-01-22,Search,173782,3190,1367,639,2930.04,6098.24,1.08,3168.2,1.8356331495782072,20.031347962382444,4.585352112676056
CAMP00136,2025-12-12,2025-12-19,Influencer,145435,5102,974,458,4703.5,5587.42,0.19,883.9200000000001,3.508096400453811,8.97687181497452,10.269650655021834
CAMP00137,2025-02-11,2025-02-16,Influencer,78960,5898,1885,887,1679.73,3296.2,0.96,1616.4699999999998,7.4696048632218845,15.03899626992201,1.8937204058624577
CAMP00138,2025-06-28,2025-07-07,Influencer,16990,799,119,24,557.31,1034.68,0.86,477.3700000000001,4.70276633313714,3.0037546933667083,23.221249999999998
CAMP00139,2025-03-04,2025-03-12,Influencer,99258,6086,2701,1430,4909.86,12372.32,1.52,7462.46,6.1314956980797515,23.496549457771938,3.4334685314685314
CAMP00140,2025-12-18,2025-12-24,Search,132640,2305,868,494,2261.62,5880.2,1.6,3618.58,1.7377864897466826,21.431670281995665,4.578178137651822
CAMP00141,2025-08-19,2025-09-01,Email,37137,783,142,53,2223.62,6102.74,1.74,3879.12,2.1084094030212457,6.7688378033205625,41.95509433962264
CAMP00142,2025-08-29,2025-09-05,Search,20573,226,87,36,538.7,1462.29,1.71,923.5899999999999,1.0985271958392067,15.929203539823009,14.96388888888889
CAMP00143,2025-02-21,2025-03-05,Search,14554,1027,136,44,3743.41,11217.85,2.0,7474.4400000000005,7.05647931840044,4.284323271665044,85.0775
CAMP00144,2025-04-06,2025-04-16,Social,234726,7933,3243,1666,3628.58,8762.7,1.41,5134.120000000001,3.379685250036212,21.000882390016386,2.1780192076830733
CAMP00145,2025-08-10,2025-08-19,Display,238380,23128,6849,3387,811.95,1819.95,1.24,1008.0,9.702156221159493,14.64458664821861,0.23972542072630648
CAMP00146,2025-08-19,2025-08-24,Display,222670,8408,1245,616,1245.65,1612.31,0.29,366.65999999999985,3.77599137737459,7.326355851569934,2.022159090909091
CAMP00147,2025-08-25,2025-09-02,Social,189869,8112,2597,1282,180.43,349.37,0.94,168.94,4.272419404958155,15.803747534516766,0.14074102964118565
CAMP00148,2025-05-23,2025-05-30,Search,18015,941,169,48,4459.67,8299.04,0.86,3839.370000000001,5.223424923674715,5.100956429330499,92.90979166666666
CAMP00149,2025-06-20,2025-06-25,Social,64617,2502,923,226,1298.19,3205.49,1.47,1907.2999999999997,3.872046055991457,9.03277378097522,5.744203539823009
CAMP00150,2025-01-29,2025-02-07,Influencer,185664,15515,5949,1929,4642.5,7192.89,0.55,2550.3900000000003,8.356493450534298,12.433129229777634,2.406687402799378
CAMP00151,2025-02-05,2025-02-15,Social,115041,10222,4133,1777,2898.73,7947.43,1.74,5048.700000000001,8.885527768360845,17.38407356681667,1.6312492965672483
CAMP00152,2025-01-13,2025-01-19,Social,80195,881,403,145,2184.5,3144.87,0.44,960.3699999999999,1.0985722301889145,16.458569807037456,15.065517241379311
CAMP00153,2025-06-09,2025-06-16,Influencer,164989,11370,4115,1233,138.37,272.19,0.97,133.82,6.891368515476789,10.844327176781004,0.11222222222222222
CAMP00154,2025-11-23,2025-12-08,Display,255438,18327,5437,1135,552.13,1594.94,1.89,1042.81,7.174735160782656,6.193048507666285,0.48645814977973567
CAMP00155,2025-07-06,2025-07-16,Influencer,219722,21209,9367,2327,877.55,1481.27,0.69,603.72,9.652651987511492,10.971757272855863,0.3771164589600344
CAMP00156,2025-08-31,2025-09-08,Email,142715,6184,2844,688,617.91,1517.53,1.46,899.62,4.333111445888659,11.1254851228978,0.898125
CAMP00157,2025-03-27,2025-04-09,Social,18269,503,207,120,1355.4,2265.2,0.67,909.7999999999997,2.753297936394986,23.856858846918488,11.295
CAMP00158,2025-10-11,2025-10-20,Social,285502,16231,7741,3959,857.47,1739.63,1.03,882.1600000000001,5.685074009989422,24.391596328014295,0.2165875221015408
CAMP00159,2025-03-07,2025-03-15,Display,103029,5180,2547,634,3352.79,8553.88,1.55,5201.089999999999,5.027710644575799,12.23938223938224,5.288312302839117
CAMP00160,2025-06-19,2025-06-25,Search,88857,7220,1447,559,1555.45,4089.52,1.63,2534.0699999999997,8.125414992628606,7.742382271468144,2.782558139534884
CAMP00161,2025-02-14,2025-02-24,Influencer,197830,18073,3135,1447,3619.63,9718.64,1.68,6099.009999999999,9.135621493201233,8.00641841420904,2.50147201105736
CAMP00162,2025-03-03,2025-03-17,Search,61235,1090,304,177,763.91,916.0,0.2,152.09000000000003,1.7800277619008735,16.238532110091743,4.3158757062146895
CAMP00163,2025-05-14,2025-05-20,Email,289316,24936,12437,3825,1124.63,3047.48,1.71,1922.85,8.618949522321612,15.339268527430223,0.29402091503267974
CAMP00164,2025-10-11,2025-10-22,Influencer,78834,7237,979,299,3958.5,5117.37,0.29,1158.87,9.180049217342772,4.131546220809728,13.23913043478261
CAMP00165,2025-01-28,2025-02-04,Email,49857,4645,1787,763,3206.98,4956.79,0.55,1749.81,9.316645606434403,16.42626480086114,4.203119266055046
CAMP00166,2025-04-18,2025-05-01,Email,146483,11541,5081,2758,572.59,1684.66,1.94,1112.0700000000002,7.878729955011845,23.897409236634605,0.207610587382161
CAMP00167,2025-02-13,2025-02-28,Email,274969,21114,10526,3282,4801.14,6185.97,0.29,1384.83,7.678683778898712,15.544188689968742,1.4628702010968921
CAMP00168,2025-12-06,2025-12-15,Influencer,101774,1154,401,100,3836.42,5762.94,0.5,1926.5199999999995,1.1338848821899503,8.665511265164644,38.364200000000004
CAMP00169,2025-10-13,2025-10-25,Influencer,174814,16225,4089,1253,2807.96,4693.68,0.67,1885.7200000000003,9.281293260265196,7.722650231124807,2.2409896249002395
CAMP00170,2025-11-27,2025-12-12,Display,294295,12253,2041,774,1780.26,4650.74,1.61,2870.4799999999996,4.16350940382949,6.316820370521505,2.300077519379845
CAMP00171,2025-05-08,2025-05-18,Social,48327,662,326,112,560.31,919.89,0.64,359.58000000000004,1.369834667990978,16.91842900302115,5.002767857142857
